,submission_status,work_rate,extra_time_min,average_answer_time_in_min,progress_percent
5827,passed,slow,355.20000000000005,715.2,59.0
5828,passed,fast,0.0,58.2,59.0
5829,passed,normal,0.0,162.6,59.0
5830,passed,slow,285.6,645.6,59.0
5831,passed,slow,1948.1999999999998,2308.2,59.0
5832,passed,fast,0.0,23.400000000000002,59.0
5833,passed,slow,468.0,648.0,59.0
5834,passed,fast,0.0,49.2,59.0
5835,passed,normal,0.0,62.400000000000006,59.0
5836,passed,fast,0.0,179.77499999999998,59.0
5837,passed,fast,0.0,106.5,59.0
5838,passed,slow,542.4000000000001,902.4000000000001,59.0
5839,passed,fast,0.0,45.0,59.0
5840,passed,fast,0.0,26.400000000000002,59.0
5841,passed,slow,141.60000000000002,321.6,59.0
5842,passed,normal,0.0,141.6,59.0
5843,passed,fast,0.0,24.6,59.0
5844,passed,normal,0.0,165.6,59.0
5845,passed,fast,0.0,48.6,59.0
5846,passed,fast,0.0,15.0,59.0
5847,passed,fast,0.0,46.2,59.0
5848,passed,fast,0.0,31.8,59.0
5849,passed,normal,0.0,64.2,59.0
5850,passed,fast,0.0,55.2,59.0
5851,passed,slow,256.19999999999993,616.1999999999999,59.0
5852,passed,slow,756.5999999999999,1116.6,40.0
5853,passed,normal,0.0,319.8,40.0
5854,passed,slow,637.8000000000001,817.8000000000001,40.0
5855,passed,slow,342.0000000000001,702.0000000000001,40.0
5856,passed,slow,1030.2,1210.2,40.0
5857,passed,fast,0.0,39.300000000000004,40.0
5858,passed,slow,363.6,723.6,40.0
5859,passed,slow,259.79999999999995,619.8,40.0
5860,passed,slow,108.0,468.0,40.0
5861,passed,slow,75.60000000000002,615.6,40.0
5862,passed,fast,0.0,52.800000000000004,40.0
5863,passed,fast,0.0,58.2,40.0
5864,passed,fast,0.0,70.8,40.0
5865,passed,slow,736.8000000000001,916.8000000000001,40.0
5866,passed,fast,0.0,21.000000000000004,40.0
5867,passed,normal,0.0,85.19999999999999,40.0
5868,passed,fast,0.0,58.800000000000004,40.0
5869,passed,fast,0.0,42.00000000000001,40.0
5870,passed,fast,0.0,24.0,40.0
5871,passed,fast,0.0,25.800000000000004,40.0
5872,passed,fast,0.0,17.400000000000002,40.0
5873,passed,normal,0.0,131.4,57.0
5874,passed,slow,10.800000000000011,190.8,57.0
5875,passed,slow,883.1999999999998,1063.1999999999998,57.0
5876,passed,fast,0.0,384.3,57.0
5877,passed,fast,0.0,167.10000000000002,57.0
5878,passed,fast,0.0,172.79999999999998,57.0
5879,passed,fast,0.0,12.600000000000001,57.0
5880,passed,slow,10.5,190.5,57.0
5881,passed,slow,370.20000000000005,730.2,57.0
5882,passed,slow,801.5999999999999,1161.6,57.0
5883,passed,fast,0.0,139.8,57.0
5884,passed,slow,123.59999999999997,303.59999999999997,57.0
5885,passed,fast,0.0,47.400000000000006,57.0
5886,passed,normal,0.0,124.19999999999999,57.0
5887,passed,fast,0.0,114.0,57.0
5888,passed,fast,0.0,187.20000000000002,57.0
5889,passed,fast,0.0,97.5,57.0
5890,passed,slow,481.80000000000007,841.8000000000001,57.0
5891,passed,normal,0.0,430.2,57.0
5892,passed,normal,0.0,73.8,57.0
5893,passed,fast,0.0,28.8,57.0
5894,passed,fast,0.0,117.0,57.0
5895,passed,fast,0.0,23.400000000000002,57.0
5896,passed,fast,0.0,103.2,57.0
5897,passed,normal,0.0,96.0,57.0
5898,passed,normal,0.0,118.8,57.0
5899,passed,fast,0.0,10.8,57.0
5900,passed,fast,0.0,102.6,57.0
5901,passed,normal,0.0,102.6,57.0
5902,passed,fast,0.0,135.6,57.0
5903,passed,fast,0.0,223.8,28.0
5904,passed,slow,468.0,828.0,28.0
5905,passed,fast,0.0,239.4,28.0
5906,passed,fast,0.0,290.4,28.0
5907,passed,slow,186.0,366.0,28.0
5908,passed,slow,913.1999999999998,1093.1999999999998,28.0
5909,passed,fast,0.0,78.60000000000001,28.0
5910,passed,slow,765.6,945.6,28.0
5911,passed,fast,0.0,24.6,28.0
5912,passed,slow,106.80000000000001,286.8,28.0
5913,passed,normal,0.0,153.0,28.0
5914,passed,slow,65.99999999999997,245.99999999999997,28.0
5915,passed,normal,0.0,89.4,28.0
5916,passed,fast,0.0,12.0,28.0
5917,passed,fast,0.0,6.0,28.0
5918,Not passed,slow,921.5999999999999,1101.6,59.0
5919,passed,slow,207.0,387.0,59.0
5920,passed,slow,80.39999999999998,260.4,59.0
5921,passed,slow,783.0,963.0,59.0
5922,passed,slow,50.39999999999998,590.4,59.0
5923,passed,slow,699.8999999999999,1059.8999999999999,59.0
5924,passed,slow,469.79999999999995,829.8,59.0
5925,passed,slow,78.59999999999997,438.59999999999997,59.0
5926,passed,slow,579.0,759.0,59.0
5927,passed,slow,168.0,528.0,59.0
5928,passed,fast,0.0,214.8,59.0
5929,passed,slow,146.70000000000005,506.70000000000005,59.0
5930,passed,fast,0.0,14.4,59.0
5931,passed,slow,34.80000000000001,394.8,59.0
5932,passed,slow,360.0,540.0,59.0
5933,passed,slow,378.9,738.9,59.0
5934,passed,slow,441.0,801.0,59.0
5935,passed,fast,0.0,53.400000000000006,59.0
5936,passed,slow,717.6000000000001,1077.6000000000001,59.0
5937,passed,slow,508.79999999999995,1048.8,59.0
5938,passed,fast,0.0,25.200000000000003,59.0
5939,passed,slow,873.6000000000001,1053.6000000000001,59.0
5940,passed,slow,500.4,860.4,59.0
5941,passed,slow,483.6,663.6,59.0
5942,passed,fast,0.0,15.600000000000001,59.0
5943,passed,fast,0.0,30.6,59.0
5944,passed,slow,486.6,666.6,59.0
5945,passed,slow,850.2,1030.2,59.0
5946,passed,slow,332.4,512.4,59.0
5947,passed,slow,627.6,987.6,59.0
5948,passed,slow,157.19999999999993,517.1999999999999,59.0
5949,passed,slow,604.2,1144.2,22.0
5950,passed,fast,0.0,51.300000000000004,22.0
5951,passed,fast,0.0,28.200000000000003,22.0
5952,passed,normal,0.0,258.59999999999997,22.0
5953,passed,slow,73.80000000000001,253.8,22.0
5954,passed,slow,383.4000000000001,743.4000000000001,22.0
5955,passed,slow,742.8000000000001,922.8000000000001,22.0
5956,passed,slow,28.200000000000017,208.20000000000002,22.0
5957,passed,slow,1077.6000000000001,1257.6000000000001,22.0
